timestep,vote,belief_breakfast,belief_lunch,belief_drink
6,drink,0.333,0.333,0.333
7,drink,0.333,0.333,0.333
8,breakfast,0.317,0.048,0.635
9,breakfast,0.332,0.005,0.663
10,breakfast,0.428,0.001,0.571
11,breakfast,0.75,0.0,0.25
12,breakfast,0.984,0.0,0.016
13,breakfast,0.999,0.0,0.001
14,unsure,1.0,0.0,0.0
15,breakfast,1.0,0.0,0.0
16,breakfast,1.0,0.0,0.0
