timestep,vote,belief_breakfast,belief_lunch,belief_drink
6,breakfast,0.333,0.333,0.333
7,breakfast,0.333,0.333,0.333
8,breakfast,0.909,0.045,0.045
9,unsure,0.993,0.003,0.003
10,breakfast,1.0,0.0,0.0
11,lunch,1.0,0.0,0.0
12,breakfast,1.0,0.0,0.0
