timestep,vote,belief_breakfast,belief_lunch,belief_drink
6,lunch,0.333,0.333,0.333
7,lunch,0.333,0.333,0.333
8,lunch,0.045,0.909,0.045
9,lunch,0.002,0.995,0.002
10,lunch,0.0,1.0,0.0
11,unsure,0.0,1.0,0.0
12,lunch,0.0,1.0,0.0
